,CentroSuministrador,Periodo,MesPeriodo,IdPeriodo,precip,tmin,tmax,tmean,dia_lluvia,dia_helada,dia_caluroso,Dolar,IPC,Desempleo,IMACEC,Precio_carne,Precio_leche,Precio_carne_1trim_mean,Precio_carne_0trim_mean,Precio_leche_1trim_mean,Precio_leche_0trim_mean,tmean_1trim_mean,tmean_0trim_mean,precip_1trim_mean,precip_0trim_mean,dia_lluvia_1trim_mean,dia_lluvia_0trim_mean,dia_helada_1trim_mean,dia_helada_0trim_mean,tmin_1trim_mean,tmin_0trim_mean,tmax_1trim_mean,tmax_0trim_mean,dia_caluroso_1trim_mean,dia_caluroso_0trim_mean
0,Ancud,2014,1,2014-01-01,1.6153846153846154,18.58076923076923,17.546051135368366,12.44350854593152,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
1,Chimbarongo-Santiago,2014,1,2014-01-01,1.6153846153846154,18.58076923076923,17.546051135368366,12.44350854593152,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
2,Frutillar,2014,1,2014-01-01,1.6153846153846154,18.58076923076923,17.546051135368366,12.44350854593152,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
3,Futrono,2014,1,2014-01-01,1.6153846153846154,18.58076923076923,17.546051135368366,12.44350854593152,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
4,Los Lagos,2014,1,2014-01-01,1.6153846153846154,18.58076923076923,17.546051135368366,12.44350854593152,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
5,Los Muermos,2014,1,2014-01-01,1.6153846153846154,18.58076923076923,17.546051135368366,12.44350854593152,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
6,Los Ángeles,2014,1,2014-01-01,1.6153846153846154,18.58076923076923,17.546051135368366,12.44350854593152,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
7,Máfil,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
8,Octay,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
9,Osorno,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
10,Panguipulli,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
11,Puerto Montt,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
12,Puerto Varas,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
13,Purranque,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
14,Río Bueno,2014,1,2014-01-01,1.6153846153846154,8.008333333333333,17.546051135368366,18.58076923076923,7.0,1.0,0.0,537.029545454545,-0.4,6.2,2.4,5713.076923076923,654.0,,,,,,,,,,,,,,,,,,
