,Unnamed: 0,IdMaterial,IdCeSum,2021/12,2022/1,2022/10,2022/11,2022/2,2022/3,2022/4,2022/5,2022/6,2022/7,2022/8,2022/9,Porcentaje,Provision,LeadTime,Sucursal,ABC_Sucursal,ABC,Margen_Total,Margen_Suc,UMBase,MAPE,AcumProy,AcumEsp,AcumPost,MeanSupply,Trim Proy 2022/12 - 2023/2,Trim Proy 2023/3 - 2023/5,DdaProy 2022/12,DdaProy 2023/1,DdaProy 2023/2,DdaProy 2023/3,DdaProy 2023/4,DdaProy 2023/5,PeriodROP,MeanSupply2,StdSupply2,DdaAnual,Trim 2021/12 - 2022/2,Trim 2022/3 - 2022/5,Trim 2022/6 - 2022/8,Trim 2022/9 - 2022/11
0,0,14000088,D090,18.522,21.42,19.566,20.268,21.672,23.094,22.248,24.426,25.2,34.272000000000006,19.422,20.448,0.33557331666368995,Directo,120.0,Santiago,A,A,1.1363170612631568,10.404467068072748,T   ,0.09145128685490761,85.66340852486769,131.382,139.17600000000002,14.277234754144617,47.072300811003025,38.59110771386466,19.953189408823004,14.030320369708878,13.090715083050544,14.077300634041794,11.839026611894981,12.674604170387571,4.0,63.91396503839971,3.609903923922675,224.84115627790678,61.614000000000004,69.768,78.894,60.282
1,1,14000088,D100,9.792,14.184,13.266,13.482,8.262,11.718,11.808,14.076,12.294,24.984,6.606,9.846,0.18643954277549565,Directo,120.0,Chimbarongo,A,A,1.1363170612631568,6.841383818084588,T   ,0.09145128685490761,47.59331545413946,69.84,80.47800000000001,7.932219242356577,26.152670086666642,21.44064536747281,11.085695213430972,7.795037283443474,7.273006563672085,7.8211388194320435,6.577587069119486,7.041821530630472,4.0,35.509648196106454,2.005608919478296,128.07228647972852,32.238,37.602000000000004,43.88400000000001,36.594
2,2,14000088,D110,7.65,8.19,10.53,10.512,12.474,9.054,8.388,14.004,10.602,14.598,16.056,9.054,0.16261832470083942,Directo,120.0,Los Angeles,A,A,1.1363170612631568,1.7683876026736176,T   ,0.09145128685490761,41.5123589711354,59.76,71.352,6.918726495189234,22.8111661970159,18.701192774119498,9.669285586711911,6.799072155742096,6.343740846579745,6.821838721200214,5.737174495445615,6.142094123950706,4.0,30.972611359171278,1.7493540138282722,112.86520592963029,28.314,31.445999999999998,41.256,30.096
3,3,14000088,D120,0.108,0.144,0.414,0.306,0.378,0.09,0.486,0.18,0.162,0.63,0.324,0.234,0.0042864797285229505,Centralizado,9.0,Temuco,A,A,1.1363170612631568,0.2361333805730641,T   ,0.09145128685490761,1.0942302199969793,1.386,2.07,0.1823717033328299,0.6012827992623632,0.4929474207346161,0.2548740846579746,0.17921771744954457,0.16721557420968028,0.17981782461153778,0.1512270048222897,0.16190033934631184,1.0,0.1359328451509198,0.021277709589054672,3.1642525450973387,0.63,0.756,1.116,0.954
4,4,14000088,D130,0.342,0.324,0.486,1.17,0.45,0.666,0.648,0.666,0.504,0.63,1.008,0.63,0.009332023575638507,Centralizado,9.0,Panguipulli,A,A,1.1363170612631568,0.6090233536642544,T   ,0.09145128685490761,2.382230374785091,3.096,4.428,0.39703839579751515,1.309042760894103,1.0731876138909873,0.5548821218074657,0.39017190569744603,0.36404223968565813,0.3914783889980354,0.32923379174852657,0.35247053045186644,1.0,0.29593713163064833,0.046323346917837786,6.810278978388998,1.116,1.98,2.142,2.286
5,5,14000088,D140,0.162,0.162,0.108,0.054,0.108,0.162,0.18,0.162,0.18,0.072,0.126,0.108,0.001964636542239686,Centralizado,9.0,Mafil,A,A,1.1363170612631568,0.472376823145661,T   ,0.09145128685490761,0.5015221841652823,0.936,0.648,0.08358703069421372,0.27558794966191646,0.22593423450336575,0.11681728880157173,0.08214145383104128,0.07664047151277015,0.08241650294695484,0.06931237721021612,0.07420432220039294,1.0,0.062302554027504925,0.00975228356165006,1.149532416502947,0.432,0.504,0.378,0.27
6,6,14000088,D150,3.204,3.672,5.184,2.358,2.8440000000000003,3.348,0.432,4.392,3.06,3.186,1.296,1.4219999999999997,0.042663868547954995,Centralizado,9.0,Valdivia,A,A,1.1363170612631568,0.9023476012590034,T   ,0.09145128685490761,10.891010158407436,17.892000000000003,16.506,1.8151683597345727,5.984642861408209,4.9063672969992265,2.536793623861404,1.7837763439899985,1.6643175120557243,1.789749285586712,1.5051812823718522,1.6114143150562603,1.0,1.3529565993927488,0.2117797032535598,27.39723236292195,9.72,8.172,7.542000000000001,8.964
7,7,14000088,D160,0.234,0.2699999999999999,0.216,0.234,0.198,0.288,0.306,0.252,0.234,0.324,0.252,0.234,0.003772995177710305,Centralizado,9.0,Los Lagos,A,A,1.1363170612631568,0.335772864300951,T   ,0.09145128685490761,0.9631505582265079,1.548,1.494,0.1605250930377513,0.5292541306007259,0.43389642762578184,0.22434229326665475,0.15774892838006788,0.147184541882479,0.1582771477049473,0.13311126986961958,0.14250602786211825,1.0,0.1196492230755492,0.018728817294532497,2.457170208965887,0.702,0.846,0.81,0.684
8,8,14000088,D170,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.072,0.036,0.108,0.126,0.0,0.0005804607965708162,Centralizado,9.0,Futrono,B,A,1.1363170612631568,0.0871813901929418,T   ,0.09145128685490761,0.1481770089579243,0.072,0.396,0.02469616815965405,0.08142371240011168,0.0667532965578126,0.03451419896410073,0.02426906590462583,0.02264377567422754,0.024350330416145743,0.020478656903018398,0.021924004286479733,1.0,0.018407572780853722,0.0028813565068511533,0.544180032148598,0.0,0.072,0.27,0.126
9,9,14000088,D180,8.082,4.572,3.96,2.844,4.572,3.978,8.154,8.964,5.778,3.888,1.998,4.374,0.07586176102875514,Centralizado,9.0,Rio Bueno,A,A,1.1363170612631568,1.7364767958463567,T   ,0.09145128685490761,19.365595247654877,38.322,22.842000000000002,3.2275992079424793,10.641452874445365,8.724142373209508,4.510740310769781,3.1717802286122523,2.959367297731738,3.182400875156278,2.6764029290944813,2.865298714056082,1.0,2.405728165743883,0.3765711311646239,42.20799035542061,17.226,21.096,11.664,11.177999999999999
10,10,14000088,D190,0.702,0.774,0.9,1.296,0.702,0.702,1.332,1.152,1.476,1.404,1.188,1.278,0.01600732273620289,Centralizado,9.0,Osorno,A,A,1.1363170612631568,0.1745922247329704,T   ,0.09145128685490761,4.08626597780122,5.364,7.542000000000001,0.6810443296335366,2.245415453495387,1.8408505243058317,0.951795409894624,0.669266163600643,0.6244456599392747,0.6715071887837113,0.564738346133238,0.6045965797463833,1.0,0.5076242186104661,0.07945894674662604,11.628349348097874,2.178,3.186,4.068,3.474
11,11,14000088,D210,2.898,4.212,8.622,4.3020000000000005,2.196,6.516,2.16,3.186,6.21,3.978,7.308,2.862,0.0675343811394892,Centralizado,120.0,,B,B,,,T   ,0.09145128685490761,17.239825080681577,21.168,33.282000000000004,2.8733041801135966,9.47333576962838,7.766489311053197,4.015594302554028,2.8236124754420437,2.6345162082514735,2.833067288801572,2.382612966601179,2.5507735756385075,4.0,12.862733300589392,0.7264958665335702,50.52217681728881,9.306,11.862,17.496000000000002,15.786000000000001
12,12,14000088,D220,0.054,0.072,0.216,0.126,0.072,0.09,0.306,0.36,0.162,0.144,0.234,0.18,0.0025004465083050546,Centralizado,9.0,Purranque,B,A,1.1363170612631568,0.0953193548132159,T   ,0.09145128685490761,0.6383009616649047,0.9540000000000001,1.0619999999999998,0.10638349361081745,0.3507482995697119,0.28755266209519276,0.14867654938381855,0.10454366851223434,0.09754241828898018,0.10489373102339705,0.08821575281300233,0.09444186461868193,1.0,0.0792941596713699,0.012411997260281893,1.7003139846401143,0.198,0.756,0.54,0.522
13,13,14000088,D230,0.576,0.306,0.432,0.36,0.414,0.486,0.576,0.702,0.342,0.414,0.342,0.45,0.006697624575817109,Centralizado,9.0,Frutillar,A,A,1.1363170612631568,0.3429817289360918,T   ,0.09145128685490761,1.70973471874528,3.0599999999999996,2.34,0.2849557864575467,0.9395043738474423,0.7702303448978376,0.39824075727808533,0.28002768351491336,0.2612743347026254,0.28096535095552777,0.23629219503482762,0.25296928022861226,1.0,0.21239507054831216,0.03324642123289793,4.049769601714592,1.2959999999999998,1.7639999999999998,1.098,1.242
14,14,14000088,D240,4.032,4.014,4.374,3.186,4.122,3.492,4.392,4.86,5.742,8.208,3.69,3.852,0.06693159492766565,Centralizado,9.0,Puerto Varas,A,A,1.1363170612631568,1.1566397201155951,T   ,0.09145128685490761,17.0859489559945,24.912,29.052,2.8476581593324166,9.388780375982106,7.697168580012391,3.9797526343989995,2.798409983925701,2.6110015181282367,2.8077804072155743,2.3613466690480442,2.5280063404179316,1.0,2.122534738346133,0.33224256952075987,46.138297553134485,12.168,12.744,17.64,11.411999999999999
15,15,14000088,D250,0.162,0.126,0.018,0.198,0.144,0.144,0.252,0.27,0.27,0.198,0.252,0.18,0.0027460260760850154,Centralizado,9.0,Los Muermos,B,A,1.1363170612631568,0.0768683695342456,T   ,0.09145128685490761,0.700991234685565,1.098,1.1159999999999999,0.11683187244759417,0.38519679327745143,0.31579444140811347,0.16327871048401502,0.1148113502411145,0.10712247722807644,0.1151957938917664,0.09687979996427934,0.10371740489373105,1.0,0.08708197892480801,0.01363103270548815,1.8170055367029827,0.43200000000000005,0.666,0.72,0.396
16,16,14000088,D260,0.846,0.882,0.72,0.594,0.756,0.774,0.882,1.008,0.702,0.738,0.9,0.558,0.011609215931416323,Centralizado,9.0,Puerto Montt,A,A,1.1363170612631568,2.4567001532123505,T   ,0.09145128685490761,2.9635401791584854,5.148,4.212,0.49392336319308094,1.6284742480022334,1.3350659311562518,0.6902839792820146,0.4853813180925165,0.45287551348455074,0.4870066083229148,0.4095731380603679,0.43848008572959457,1.0,0.3681514556170744,0.057627130137023065,7.175600642971959,2.484,2.664,2.34,1.8719999999999999
17,17,14000088,D270,0.144,0.144,0.1979999999999999,0.144,0.198,0.054,0.306,0.252,0.234,0.288,0.18,0.18,0.0028799785676013575,Centralizado,9.0,Ancud,B,A,1.1363170612631568,0.2029735540789715,T   ,0.09145128685490761,0.7351859290604705,1.098,1.2239999999999998,0.1225309881767451,0.40398688075440026,0.3311990483060702,0.1712435256295767,0.12041190391141277,0.11234796392212895,0.12081510091087695,0.10160564386497589,0.10877679049830329,1.0,0.09132988033577424,0.014295961130146109,1.9592009287372742,0.486,0.612,0.702,0.5219999999999999
